filename,title,year,authors,dataset_used,models_used,best_metric,domain,key_finding
A_Financial_Fraud_Prediction_Framework_Based_on_St.pdf,A Financial Fraud Prediction Framework Based on Stacking,2024,"Ensemble Learning ShanshanZhu1,†,HaotianWu2,† ,EricW.T.Ngai3,JifanRen1,* ,DaojingHe4,*,TengyunMa4andYubinLi1 1 SchoolofEconomicsandManagement,HarbinInstituteofTechnology,Shenzhen518000,China; 23b357002@stu.hit.edu.cn(S.Z.);liyubin@hit.edu.cn(Y.L.) 2 FacultyofComputer,HarbinInstituteofTechnology,Harbin150001,China;23b936025@stu.hit.edu.cn 3 DepartmentofManagementandMarketing,TheHongKongPolytechnicUniversity, HongKong00852,China;eric.ngai@polyu.edu.hk 4 SchoolofComputerScienceandTechnology,HarbinInstituteofTechnology,Shenzhen518000,China; tengyunma@stu.hit.edu.cn","extractedfromthecompustatdatabase,andachievedgoodresults","SVM, XGBoost, Neural, Logistic, LightGBM, Ensemble",Not found,Credit Card Fraud,": Withtherapiddevelopmentofthecapitalmarket, financialfraudcasesarebecoming
increasinglycommon"
BCFDPS_A_Blockchain-Based_Click_Fraud_Detection_an.pdf,Security and Communication Networks,2022,"Volume 2022, Article ID 3043489, 20 pages https://doi.org/10.1155/2022/3043489 Research Article BCFDPS: A Blockchain-Based Click Fraud Detection and Prevention Scheme for Online Advertising Qiuyun Lyu ,1 Hao Li ,1 Renjie Zhou ,2,3 Jilin Zhang ,2,3 Nailiang Zhao ,2 and Yan Liu 4 1SchoolofCyberspace,HangzhouDianziUniversity,Hangzhou310018,China 2SchoolofComputer ScienceandTechnology,HangzhouDianziUniversity,Hangzhou310018, China",[13],"Random Forest, SVM, XGBoost, Neural, RNN, AdaBoost, KNN, Ensemble",Not found,PPC/Ad Fraud,"in Sections 8 and 9, respectively"
Big_Data-Driven_Distributed_Machine_Learning_for_S.pdf,Big Data-Driven Distributed Machine Learning for Scalable,Not found,"Credit Card Fraud Detection Using PySpark, XGBoost, and CatBoost LeonidasTheodorakopoulos ,AlexandraTheodoropoulou ,AnastasiosTsimakis andConstantinosHalkiopoulos* DepartmentofManagementScienceandTechnology,UniversityofPatras,26334Patras,Greece; theodleo@upatras.gr(L.T.);theodoropouloua@upatras.gr(A.T.) * Correspondence:halkion@upatras.gr","access, and real-time implementation with potential solutions such as ensemble meth-
ods,intelligentsampling,andgraph-basedapproaches","XGBoost, Neural, Logistic, CNN, Ensemble",Not found,Credit Card Fraud,": Thisstudypresentsanoptimizationforadistributedmachinelearningframe-
worktoachievecreditcardfrauddetectionscalability"
C2IDTL_Novel_Click_to_Image_Conversion_Approach_fo.pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2017,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2025.3571187 Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000. Digital Object Identifier 10.1109/ACCESS.2024.Doi Number C2IDTL: Novel Click to Image Conversion Approach for Deep Transfer Learning in Click Fraud Detection on Digital Platforms CHANNA FERNANDO1, CHAMILA WALGAMPAYA2 AND JANAKA ALAWATUGODA3,4, * 1Computer Center, Faculty of Engineering, University of Peradeniya, Peradeniya, Sri Lanka 2Department of Engineering Mathematics, Faculty of Engineering, University of Peradeniya, Peradeniya, Sri Lanka",and sweden ad click datasets and compared the performances with the conventional state-of-the-art models,"Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, Logistic, CNN, RNN, KNN, Ensemble",96.5%,PPC/Ad Fraud,"The global retail industry has witnessed a massive expansion of e-commerce businesses in the
last decade by transforming physical stores into digitalised entities"
DataSamplingStrategiesforClickFraudDetectionUsingImbalancedUserClic.pdf,IETE Technical Review,2021,"ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/titr20 Data Sampling Strategies for Click Fraud Detection Using Imbalanced User Click Data of Online Advertising: An Empirical Review Deepti Sisodia & Dilip Singh Sisodia To cite this article: Deepti Sisodia & Dilip Singh Sisodia (2021): Data Sampling Strategies for Click Fraud Detection Using Imbalanced User Click Data of Online Advertising: An Empirical Review, IETE Technical Review, DOI: 10.1080/02564602.2021.1915892 To link to this article: https://doi.org/10.1080/02564602.2021.1915892","towards click fraud detection in
towards highlighting the behavior of distinct data-level
online advertising","SVM, CNN, Ensemble",64.3%,PPC/Ad Fraud,"KEYWORDS
Inthepay-per-clickonlineadvertisementmodel,fraudulentpublishers’presenceisrarethanthatof Classimbalance;Clickfraud;
genuinepublishers"
Detecting_Anomalies_in_Financial_Data_Using_Machin.pdf,Detecting Anomalies in Financial Data Using Machine,2022,"Learning Algorithms AlexanderBakumenko* andAhmedElragal DepartmentofComputerScience,ElectricalandSpaceEngineering,LuleåUniversityofTechnology, SE97187Luleå,Sweden * Correspondence:alexander.bakumenko@outlook.com","and learning patterns, using supervised and unsupervised ml techniques, has
a high potential to develop robust models helping auditors to concentrate on the risky
areas drastically increasing their ef",Neural,Not found,Credit Card Fraud,":Bookkeepingdatafreeoffraudanderrorsareacornerstoneoflegitimatebusinessopera-
tions"
DsCapstoneFinalResearchPaper.pdf,Credit Card Fraud Detection Using CatBoost,2016,"Pallavi Ramineni, Reda Mastouri Department of Data Science Saint Peter’s University Jersey City, NJ, USA pramineni@saintpeteres.edu, rmastouri@saintpeters.edu",without duplicating any entries,"Random Forest, SVM, XGBoost, Neural, Decision Tree, Logistic, LightGBM, Gradient Boosting, AdaBoost, KNN, Naive Bayes, Ensemble",Not found,Credit Card Fraud,"—Credit card fraud detection is presently the most This research explores the comparison and analysis of var-
frequently occurring problem in the present world"
Financial_Fraud_Identification_Based_on_Stacking_E.pdf,Computational Intelligence and Neuroscience,2022,"Volume 2022, Article ID 1780834, 14 pages https://doi.org/10.1155/2022/1780834 Research Article Financial Fraud Identification Based on Stacking Ensemble Learning Algorithm: Introducing MD&A Text Information Zhiheng Zhang,1 Yong Ma ,1 and Yongjun Hua2 1SchoolofAccounting,Chongqing UniversityofTechnology,Banan400054, Chongqing,China 2SchoolofEconomics andBusinessAdministration,Chongqing University,Shapingba400044,Chongqing, China CorrespondenceshouldbeaddressedtoYongMa;my2187@2020.cqut.edu.cn",and verified its applicability [22],"Random Forest, SVM, XGBoost, Neural, LSTM, Deep Learning, Decision Tree, Logistic, CNN, AdaBoost, Ensemble",Not found,Credit Card Fraud,"s and boosting algorithms integrate single classifiers through
limitations of the study are presented in Section 6"
IoT_Anomaly_Detection_Methods_and_Applications_A_S.pdf,IOT ANOMALY DETECTION METHODS AND APPLICATIONS: A,2022,"SURVEY ∗ AyanChatterjee DeptofMathematicsandComputerScience,KarlstadUniversity,65188Karlstad,Sweden ayan.chatterjee@kau.se BestounS.Ahmed DeptofMathematicsandComputerScience,KarlstadUniversity,65188Karlstad,Sweden DeptofComputerScience,FEE,CzechTechnicalUniversityinPrague,Czechia bestoun@kau.se","and concept drifts, and data augmentation where there is a shortage of ground truth data",RNN,Not found,IoT Security,OngoingresearchonanomalydetectionfortheInternetofThings(IoT)isarapidlyexpandingfield
OptimizingcreditcardfrauddetectionwithrandomforestsandSMOTE.pdf,www.nature.com/scientificreports,Not found,"OPEN Optimizing credit card fraud detection with random forests and SMOTE P. Sundaravadivel, R. Augustian Isaac, D. Elangovan, D. KrishnaRaj, V. V. Lokesh Rahul & R. Raja In the financial world, Credit card fraud is a budding apprehension in the banking sector, necessitating the development of efficient detection methods to minimize financial losses. The usage of credit cards is experiencing a steady increase, thereby leading to a rise in the default rate that banks encounter. Although there has been much research investigating the efficacy of conventional Machine Learning",of credit card transactions,"Random Forest, Neural, Deep Learning, Decision Tree, Logistic, AdaBoost, Ensemble",99.5%,Credit Card Fraud,Not extracted
Secure_and_Transparent_Banking_Explainable_AI-Driv.pdf,Secure and Transparent Banking: Explainable AI-Driven,2024,"Federated Learning Model for Financial Fraud Detection SaifKhalifaAljunaid1,SaifJasimAlmheiri1,HussainDawood1andMuhammadAdnanKhan1,2,3,* 1 SchoolofComputing,SkylineUniversityCollege,UniversityCitySharjah, Sharjah1797,UnitedArabEmirates;saif.aljunaid@fcd.sharjah.ae(S.K.A.);saif.jasim@shjmun.gov.ae(S.J.A.); dawood.hussain@skylineuniversity.ac.ae(H.D.) 2 RiphahSchoolofComputing&Innovation,FacultyofComputing,RiphahInternationalUniversity, LahoreCampus,Lahore54000,Pakistan 3 ChitkaraUniversityInstituteofEngineeringandTechnology,ChitkaraUniversity, Rajpura140401,Punjab,India",Mentions uci,Not specified,0.1%,Credit Card Fraud,": Theincreasingsophisticationoffraudhasrenderedrule-basedfrauddetection
obsolete, exposingbankstogreaterfinancialrisk, reputationaldamage, andregulatory
penalties"
StackedGeneralizationArchitectureforPredicting.pdf,New Generation Computing,2023,"https://doi.org/10.1007/s00354-023-00218-1 Stacked Generalization Architecture for Predicting Publisher Behaviour from Highly Imbalanced User‑Click Data Set for Click Fraud Detection Deepti Sisodia1,2 · Dilip Singh Sisodia1 Received: 19 June 2021 / Accepted: 4 May 2023 © The Author(s), under exclusive licence to The Japanese Society for Artificial Intelligence and Springer Nature Japan KK, part of Springer Nature 2023","and a challenging issue for the conventional classifi-
cation methods as they get biased towards the outnumbered class",Not specified,Not found,PPC/Ad Fraud,"In online advertising, a change in the publisher’s actual status label with every gen-
erated click shows the suspicious behaviour of the publisher"
Transparency_and_Privacy_The_Role_of_Explainable_A.pdf,This article has been accepted for publication in IEEE Access. This is the author's version which has not been fully edited and,2023,"content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2024.3394528 Dateofpublicationxxxx00,0000,dateofcurrentversionxxxx00,0000. DigitalObjectIdentifier10.1109/ACCESS.2023.0322000 Transparency and Privacy: The Role of Explainable AI and Federated Learning in Financial Fraud Detection TOMISINAWOSIKA1 RAJMANISHUKLA2,andBernardiPranggono3 1,2,3SchoolofComputingandInformationScience,AngliaRuskinUniversity,UK Correspondingauthor:RajManiShukla(e-mail:raj.shukla@aru.ac.uk).",privacy and confidentiality,"SVM, Neural, LSTM, Deep Learning, CNN, RNN, AdaBoost, KNN, Ensemble",Not found,Credit Card Fraud,"Fraudulent transactions and how to detect them remain a significant problem for financial
institutionsaroundtheworld"
